CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;COSTE_VENTA;km_anno;Revisiones;Edad Cliente;EDAD_COCHE;prediccion;probabilidad_compra
CLIN1;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Asturias;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;3239;0;2;18;0;1;0.9651453183455987
CLIN3;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Lerida;NO;NO;NO;Medio;NO DATA;No;NO;1541;0;4;21;0;1;0.9572357925212912
CLIN4;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Funcionario;Santa Cruz de Tenerife;SI;NO;SI;Alto;NO DATA;No;NO;2036;0;3;21;0;1;0.9644071340063225
CLIN6;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;NO;Medio;NO DATA;No;SI;2257;0;1;24;0;1;0.9707381423815846
CLIN9;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;1541;0;1;21;0;1;0.9707381423815846
CLIN10;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Toledo;NO;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;1541;0;1;18;0;1;0.9707381423815846
CLIN12;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Las Palmas;NO;NO;NO;Medio;NO DATA;Averia leve;NO;3400;0;1;31;0;1;0.9707381423815846
CLIN14;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;1541;0;1;21;0;1;0.9707381423815846
CLIN16;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Tarragona;NO;NO;NO;;NO DATA;Averia muy grave;SI;2905;0;2;26;0;1;0.9651453183455987
CLIN17;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Cordoba;NO;NO;SI;Medio-Bajo;NO DATA;Averia leve;NO;2429;0;1;29;0;1;0.9707381423815846
CLIN19;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Badajoz;SI;NO;NO;Alto;NO DATA;No;NO;2495;0;1;27;0;1;0.9707381423815846
CLIN22;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Alicante;SI;NO;NO;Medio;NO DATA;Averia grave;NO;2905;0;1;23;0;1;0.9707381423815846
CLIN23;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Cantabria;NO;NO;NO;Medio;NO DATA;No;NO;1781;0;0;29;0;1;0.9490788450793628
CLIN24;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Baleares;NO;NO;NO;Medio;NO DATA;No;NO;2905;0;2;26;0;1;0.9651453183455987
CLIN25;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;2905;0;2;30;0;1;0.9651453183455987
CLIN26;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;No;NO;5286;0;2;29;0;1;0.9651453183455987
CLIN27;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Las Palmas;NO;NO;NO;;NO DATA;No;NO;3400;0;2;31;0;1;0.9651453183455987
CLIN31;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;Averia leve;NO;3110;0;0;22;0;1;0.9490788450793628
CLIN33;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Baleares;SI;NO;NO;Medio;NO DATA;Averia grave;NO;3599;0;1;20;0;1;0.9707381423815846
CLIN36;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Asturias;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;1541;0;2;25;0;1;0.9651453183455987
CLIN38;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Lacoruna;NO;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;1541;0;0;26;0;1;0.9490788450793628
CLIN41;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Madrid;NO;NO;SI;;NO DATA;Averia grave;NO;4696;0;0;19;0;1;0.9490788450793628
CLIN42;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Barcelona;NO;NO;SI;;NO DATA;Averia leve;NO;2429;0;1;20;0;1;0.9707381423815846
CLIN43;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Autonomo;Las Palmas;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;1525;0;1;18;0;1;0.9707381423815846
CLIN46;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Valencia;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;1541;0;2;29;0;1;0.9651453183455987
CLIN49;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Baleares;SI;NO;SI;;NO DATA;Averia muy grave;SI;1781;0;1;26;0;1;0.9707381423815846
CLIN50;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Gerona;SI;NO;NO;Alto;NO DATA;Averia muy grave;SI;2495;0;0;28;0;1;0.9490788450793628
CLIN51;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;EN PAREJA;F;Empresa;Barcelona;SI;NO;NO;Alto;NO DATA;No;NO;4312;0;2;28;0;1;0.9651453183455987
CLIN53;A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;M;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Alto;NO DATA;Averia leve;NO;2275;0;1;22;0;1;0.9707381423815846
CLIN54;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Baleares;SI;NO;NO;Medio;NO DATA;No;NO;2495;0;0;27;0;1;0.9490788450793628
CLIN55;A;TIPO1;FUEL 1;Baja;M;Financiera Banco;CASADO;M;Empresa;Barcelona;NO;NO;NO;Medio;NO DATA;No;NO;1781;0;0;18;0;1;0.9490788450793628
CLIN56;A;TIPO1;FUEL 1;Baja;M;Financiera Banco;CASADO;F;Empresa;Barcelona;NO;NO;NO;;NO DATA;Averia leve;NO;1781;0;1;31;0;1;0.9707381423815846
CLIN57;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Santa Cruz de Tenerife;NO;NO;NO;;NO DATA;Averia leve;NO;2036;0;2;23;0;1;0.9651453183455987
CLIN58;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Lacoruna;NO;NO;SI;Medio;NO DATA;Averia grave;NO;2671;0;2;29;0;1;0.9651453183455987
CLIN61;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Las Palmas;SI;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;2242;0;2;29;0;1;0.9651453183455987
CLIN62;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Gerona;SI;NO;NO;Alto;NO DATA;No;NO;1747;0;1;19;0;1;0.9707381423815846
